App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver
DN - Di rio de Not cias	NEWS_AND_MAGAZINES	3.7	794	15M	100,000+	Free	0	Everyone	News & Magazines	July 26, 2018	3.2.7	4.1 and up
DN Employee	FAMILY	5.0	1	3.8M	10+	Free	0	Everyone	Education	June 25, 2018	1.4	4.4 and up
DN Advanced Service Coder	BUSINESS		0	21M	10+	Free	0	Everyone	Business	June 1, 2018	1.0.0	4.0 and up
DN Premium Hookah Lounge	BUSINESS		1	4.2M	50+	Free	0	Everyone	Business	October 21, 2015	1.0	2.3 and up
PlayMotiv dn edition	BUSINESS		0	28M	500+	Free	0	Everyone	Business	April 8, 2018	1.0.2	4.1 and up
Cossack Dictionary (DN)	BOOKS_AND_REFERENCE		7	2.3M	10+	Paid	$2.99	Teen	Books & Reference	April 28, 2018	1.0	4.0.3 and up
DN Calculators	FINANCE	5.0	12	775k	100+	Free	0	Everyone	Finance	September 5, 2013	1.11	3.0 and up
DN Diamonds	BUSINESS		4	10M	100+	Free	0	Everyone	Business	July 31, 2018	3.9.17	4.0.3 and up
DN Prasad	FINANCE		0	5.9M	100+	Free	0	Everyone	Finance	April 30, 2018	1.1.2	4.0.3 and up
Writing Wizard Premium - Handwriting	FAMILY	4.1	89	33M	5,000+	Paid	$4.49	Everyone	Education;Education	December 3, 2017	2.5.0	4.0.3 and up
DN Driver	FAMILY		0	7.5M	5+	Free	0	Everyone	Education	June 9, 2018	1.0.2	4.1 and up
D.N. College Meerut	FAMILY		0	19M	10+	Free	0	Everyone	Education	March 26, 2018	1.0.0	4.0 and up
DN Radio FM	NEWS_AND_MAGAZINES		0	3.8M	10+	Free	0	Teen	News & Magazines	July 15, 2016	1.1	2.3 and up
Sverige Tidningar	NEWS_AND_MAGAZINES	4.1	905	4.0M	50,000+	Free	0	Everyone	News & Magazines	July 30, 2018	2.2.2.1	4.0 and up
Svenska Dagbladet	NEWS_AND_MAGAZINES	2.6	820	Varies with device	100,000+	Free	0	Everyone	News & Magazines	February 13, 2018	Varies with device	Varies with device
Dragon Nest M	FAMILY	4.6	11872	62M	100,000+	Free	0	Teen	Role Playing	July 17, 2018	1.2.0	4.3 and up
Downtown Mafia: Gang Wars (Mobster Game) Free	FAMILY	4.5	69013	Varies with device	1,000,000+	Free	0	Teen	Role Playing	September 2, 2017	Varies with device	Varies with device
DN Snacks	BUSINESS		0	7.6M	1+	Free	0	Everyone	Business	April 9, 2018	1.0.0	4.0 and up
Guardian Hunter: SuperBrawlRPG	FAMILY	4.5	364013	27M	1,000,000+	Free	0	Everyone 10+	Role Playing	August 6, 2018	14.4.4.00	4.1 and up
Sweden Newspapers	NEWS_AND_MAGAZINES		0	2.1M	0+	Free	0	Everyone	News & Magazines	July 7, 2018	1.1	4.4 and up
ES Remote	FAMILY	3.3	707	15M	100,000+	Free	0	Everyone	Entertainment	November 20, 2014	2.1.1	2.3 and up
MC.Fitting	PRODUCTIVITY		130	3.4M	1,000+	Paid	$8.49	Everyone	Productivity	May 3, 2017	12.0	1.6 and up
Destiny Ninja Shall we date otome games love story	GAME	4.4	13079	30M	500,000+	Free	0	Everyone 10+	Adventure	April 20, 2018	1.6.2	4.0 and up
Day Night Live Wallpaper (All)	PERSONALIZATION	4.7	4856	18M	50,000+	Paid	$2.49	Everyone	Personalization	January 31, 2018	1.5.3	4.0 and up
CritDice - Dice Roller	FAMILY	4.7	2910	5.3M	50,000+	Free	0	Everyone	Entertainment	October 30, 2016	2.0.0	4.1 and up
Cursive Writing Wizard - Handwriting	FAMILY	4.0	3745	31M	1,000,000+	Free	0	Everyone	Education;Education	December 3, 2017	2.5.0	4.0.3 and up
Free Poker Games : Downtown Casino - Texas Holdem	GAME	4.5	2032	50M	50,000+	Free	0	Teen	Card	June 5, 2018	0.1.27	4.1 and up
WFVS 2018 | WhatApp Full Video Status & Downloader	PRODUCTIVITY	4.3	596	22M	50,000+	Free	0	Everyone	Productivity	July 4, 2018	1.3	4.1 and up
Maher EL Mouaikly - Offline	FAMILY	4.6	166	2.6M	10,000+	Free	0	Everyone	Entertainment	May 24, 2017	1.1.0	3.1 and up
Darkness Rises	FAMILY	4.7	456474	86M	5,000,000+	Free	0	Teen	Role Playing	July 24, 2018	1.2.0	4.4 and up
NARUTO X BORUTO NINJA VOLTAGE	GAME	4.4	267395	71M	5,000,000+	Free	0	Everyone 10+	Action	July 19, 2018	1.1.7	4.4 and up
Sword Art Online: Integral Factor	FAMILY	4.0	45359	32M	1,000,000+	Free	0	Everyone 10+	Role Playing	July 26, 2018	1.0.9	4.4 and up
Mahalaxmi Dindarshika 2018	PRODUCTIVITY	4.2	25427	9.2M	1,000,000+	Free	0	Everyone	Productivity	January 5, 2018	18.0	4.0 and up
Google Docs	PRODUCTIVITY	4.3	815974	Varies with device	100,000,000+	Free	0	Everyone	Productivity	August 6, 2018	Varies with device	Varies with device
Microsoft To-Do: List, Task & Reminder	PRODUCTIVITY	4.1	14432	16M	1,000,000+	Free	0	Everyone	Productivity	July 31, 2018	1.36.82	4.4 and up
Any.do: To-do list, Calendar, Reminders & Planner	PRODUCTIVITY	4.5	298854	Varies with device	10,000,000+	Free	0	Everyone	Productivity	August 5, 2018	Varies with device	Varies with device
PDF Reader - Scan Edit & Share	BUSINESS	4.3	54520	Varies with device	10,000,000+	Free	0	Everyone	Business	July 30, 2018	3.12.4	Varies with device
Notepad & To do list	PRODUCTIVITY	4.3	226295	4.2M	10,000,000+	Free	0	Everyone	Productivity	June 6, 2018	4.3.19	2.3.3 and up
To Do List	PRODUCTIVITY	4.7	253155	3.5M	5,000,000+	Free	0	Everyone	Productivity	March 19, 2018	3.0.17	4.0 and up
File Viewer for Android	TOOLS	4.1	7063	Varies with device	1,000,000+	Free	0	Everyone	Tools	January 25, 2018	2.3.2	5.0 and up
Polaris Office - Word, Docs, Sheets, Slide, PDF	PRODUCTIVITY	4.3	549900	60M	10,000,000+	Free	0	Everyone	Productivity	July 18, 2018	7.3.30	4.1 and up
Google Keep	PRODUCTIVITY	4.4	691474	Varies with device	100,000,000+	Free	0	Everyone	Productivity	August 6, 2018	Varies with device	Varies with device
do	FAMILY	3.1	1073	5.9M	100,000+	Free	0	Everyone	Strategy	June 8, 2016	1.0.4	4.0 and up
Does not Commute	GAME	4.0	154108	78M	5,000,000+	Free	0	Everyone	Racing	October 13, 2015	1.4.2	2.3 and up
Do It Later: Tasks & To-Dos	PRODUCTIVITY	4.5	123412	Varies with device	50,000,000+	Free	0	Everyone	Productivity	April 13, 2018	Varies with device	Varies with device
Todoist: To-do lists for task management & errands	PRODUCTIVITY	4.5	155998	12M	10,000,000+	Free	0	Everyone	Productivity	August 5, 2018	12.8.2	4.4 and up
To Do Reminder with Alarm	PRODUCTIVITY	4.4	72161	4.9M	1,000,000+	Free	0	Everyone	Productivity	March 21, 2018	2.68.14	4.0 and up
To-Do Calendar Planner	PRODUCTIVITY	4.2	30291	Varies with device	1,000,000+	Free	0	Everyone	Productivity	May 29, 2018	Varies with device	Varies with device
Wunderlist: To-Do List & Tasks	PRODUCTIVITY	4.6	404610	Varies with device	10,000,000+	Free	0	Everyone	Productivity	April 6, 2018	Varies with device	Varies with device
wikiHow: how to do anything	BOOKS_AND_REFERENCE	4.4	43088	3.0M	1,000,000+	Free	0	Teen	Books & Reference	April 19, 2017	2.7.3	4.0 and up
Ike - To-Do List, Task List	PRODUCTIVITY	4.6	6320	6.3M	100,000+	Free	0	Everyone	Productivity	December 10, 2016	2.0	4.4 and up
Kung Fu Do Fighting	GAME	4.0	271214	Varies with device	10,000,000+	Free	0	Teen	Arcade	July 25, 2018	Varies with device	Varies with device
My Effectiveness: To do, Tasks	PRODUCTIVITY	4.6	14089	8.4M	500,000+	Free	0	Everyone	Productivity	August 5, 2018	0.21.1	4.1 and up
Do it (Tomorrow)	PRODUCTIVITY	4.3	26452	4.0M	1,000,000+	Free	0	Everyone	Productivity	November 3, 2014	2.3.5	2.1 and up
Do Not Disturb	PRODUCTIVITY	4.3	6120	1.9M	100,000+	Free	0	Everyone	Productivity	November 22, 2017	2.10.1	6.0 and up
To-Do List Widget	PRODUCTIVITY	3.9	7801	201k	1,000,000+	Free	0	Everyone	Productivity	September 28, 2013	2.0	1.5 and up
NoteToDo. Notes. To do list	PRODUCTIVITY	4.5	57449	5.0M	1,000,000+	Free	0	Everyone	Productivity	August 4, 2018	1.2.187-83	4.0 and up
Memory Helper - To do list, Notepad, Notes, Memo	PRODUCTIVITY	4.7	7566	4.0M	500,000+	Free	0	Everyone	Productivity	July 21, 2018	67	4.1 and up
2Do - Reminders, To-do List & Notes	PRODUCTIVITY	4.3	4649	30M	100,000+	Free	0	Everyone	Productivity	June 19, 2018	2.8.12	5.0 and up
TickTick: To Do List with Reminder, Day Planner	PRODUCTIVITY	4.6	25370	Varies with device	1,000,000+	Free	0	Everyone	Productivity	August 6, 2018	Varies with device	Varies with device
Notes : Colorful Notepad Note,To Do,Reminder,Memo	LIFESTYLE	4.6	10484	9.0M	1,000,000+	Free	0	Everyone	Lifestyle	June 9, 2018	1.4.9	4.1 and up
Time Planner - Schedule, To-Do List, Time Tracker	PRODUCTIVITY	4.2	2537	8.5M	500,000+	Free	0	Everyone	Productivity	January 10, 2018	2.2 (Protostar)	4.0 and up
MyLifeOrganized: To-Do List	PRODUCTIVITY	4.3	4441	Varies with device	100,000+	Free	0	Everyone	Productivity	June 18, 2018	Varies with device	Varies with device
ColorNote Notepad Notes	PRODUCTIVITY	4.6	2401017	Varies with device	100,000,000+	Free	0	Everyone	Productivity	June 27, 2018	Varies with device	Varies with device
Cal - Google Calendar + Widget	PRODUCTIVITY	4.2	86172	13M	1,000,000+	Free	0	Everyone	Productivity	February 1, 2016	1.1.7	4.0 and up
Clean My House   Chore To Do List, Task Scheduler	PRODUCTIVITY	4.1	661	3.4M	100,000+	Free	0	Everyone	Productivity	June 21, 2018	2.1.2	4.1 and up
Goal Meter: Goal Tracker, Habit Changer,To-Do List	PRODUCTIVITY	4.6	7969	20M	100,000+	Free	0	Everyone	Productivity	February 6, 2018	2.7.92	4.4 and up
To-do list	PRODUCTIVITY	4.4	688	4.4M	50,000+	Free	0	Everyone	Productivity	July 17, 2018	2.22	4.0 and up
Do Not Crash	FAMILY	3.7	56664	8.3M	1,000,000+	Free	0	Everyone	Casual	February 5, 2015	1.4	2.3 and up
Do I Snore or Grind	MEDICAL	4.4	2295	19M	100,000+	Free	0	Everyone	Medical	July 9, 2018	0.3.1	5.0 and up
How well do you know me?	GAME	3.9	1290	6.4M	100,000+	Free	0	Everyone	Word	July 26, 2018	2.3.0	4.1 and up
EasyNote Notepad | To Do List	TOOLS	4.3	15618	2.4M	1,000,000+	Free	0	Everyone	Tools	November 27, 2017	1.5.2	2.3 and up
Apex Launcher	PERSONALIZATION	4.3	266434	Varies with device	10,000,000+	Free	0	Everyone	Personalization	August 4, 2018	Varies with device	Varies with device
Adobe Fill & Sign: Easy PDF Form Filler	PRODUCTIVITY	4.3	11402	5.3M	1,000,000+	Free	0	Everyone	Productivity	November 7, 2017	1.3.0	5.0 and up
DO YOU KNOW THE WAY Soundboard	FAMILY	4.5	1007	5.2M	100,000+	Free	0	Everyone	Entertainment	July 1, 2018	7.0	4.1 and up
Dude Perfect 2	GAME	4.5	401648	70M	10,000,000+	Free	0	Everyone	Action	April 12, 2017	1.6.1	4.0.3 and up
Endless Ducker	GAME	4.5	8193	41M	500,000+	Free	0	Everyone	Arcade	September 16, 2016	1.0.7	4.0.3 and up
Dude Perfect	SPORTS	4.5	97	1.9M	10,000+	Free	0	Everyone	Sports	June 28, 2017	1.0	4.1 and up
that's lit	GAME	4.7	1115	39M	100,000+	Free	0	Everyone	Arcade	July 7, 2017	1.0	4.3 and up
All Type DP	FAMILY	4.3	1853	5.8M	500,000+	Free	0	Everyone	Entertainment	May 10, 2018	1.8	4.0 and up
Dp For WhatsApp	PERSONALIZATION	4.4	1623	11M	1,000,000+	Free	0	Mature 17+	Personalization	June 23, 2018	2.7	4.0.3 and up
DP and Status for WhatsApp 2018	SOCIAL	4.5	787	6.9M	100,000+	Free	0	Everyone	Social	February 17, 2018	2.4.2	4.0.3 and up
DP Editor	PHOTOGRAPHY	4.3	18	15M	5,000+	Free	0	Teen	Photography	August 4, 2018	1.5	4.1 and up
DP & Status	FAMILY	4.3	1922	4.7M	500,000+	Free	0	Everyone	Entertainment	January 9, 2018	1.13	4.1 and up
Dp for girls	ART_AND_DESIGN	4.2	175	8.2M	50,000+	Free	0	Everyone	Art & Design	May 26, 2017	1.2	4.0.3 and up
DP Maker	PHOTOGRAPHY	4.2	784	18M	100,000+	Free	0	Everyone	Photography	April 29, 2018	1.00.15	4.1 and up
Download Instant DP (Full HD)	TOOLS	4.3	1283	4.4M	100,000+	Free	0	Everyone	Tools	August 4, 2018	4.1.0	4.1 and up
Square DP For Whatsapp	PHOTOGRAPHY	4.2	67	15M	10,000+	Free	0	Everyone	Photography	March 29, 2017	1.0	4.0.3 and up
Profile pictures for WhatsApp	PERSONALIZATION	4.7	10786	9.4M	500,000+	Free	0	Mature 17+	Personalization	May 20, 2018	2.3.1	4.3 and up
DP and Status	FAMILY	4.1	623	3.0M	100,000+	Free	0	Everyone	Entertainment	August 11, 2017	1.0.1	3.0 and up
Dp For Whatsapp	SOCIAL	4.3	39	12M	5,000+	Free	0	Everyone	Social	April 13, 2017	1.0	4.0.3 and up
DP & Status for Whatsapp 2018	PERSONALIZATION	4.1	293	3.4M	100,000+	Free	0	Everyone	Personalization	August 3, 2018	1.4	4.0.3 and up
DP Creator for WhatsApp	PHOTOGRAPHY	3.8	4813	5.1M	100,000+	Free	0	Everyone	Photography	March 19, 2016	1.5	2.2 and up
Dp For FB	PHOTOGRAPHY	4.5	12	2.0M	1,000+	Free	0	Teen	Photography	October 19, 2017	1.0	4.1 and up
Best DP and Status (Daily Updates Photos)	FAMILY	4.1	3003	3.2M	1,000,000+	Free	0	Everyone	Entertainment	May 7, 2018	1.8	4.0 and up
Magical Insta DP	PHOTOGRAPHY		2	5.2M	1,000+	Free	0	Everyone	Photography	June 28, 2018	1.1	4.0 and up
Profile Pictures and DP for Whatsapp	SOCIAL	4.3	48	11M	5,000+	Free	0	Everyone	Social	May 12, 2017	1.3	4.0.3 and up
All Types DP & Status Maker	PHOTOGRAPHY	4.5	16	14M	1,000+	Free	0	Teen	Photography	July 12, 2018	2.1.5	4.0.3 and up
DP Photo Editor	PHOTOGRAPHY	4.1	88	7.7M	10,000+	Free	0	Everyone	Photography	September 29, 2017	2.5	4.1 and up
Status For WhatsApp DP - pro	PERSONALIZATION	4.4	49	12M	10,000+	Free	0	Teen	Personalization	May 31, 2018	1.7	4.1 and up
Marathi DP - status and message,jokes,Video app	FAMILY	4.3	694	3.8M	100,000+	Free	0	Everyone	Entertainment	August 1, 2018	1.6	4.2 and up
Cute Images for Whatsapp	FAMILY	4.4	634	8.1M	100,000+	Free	0	Teen	Entertainment	December 23, 2015	1.0	2.3.3 and up
Profile Pictures - Best DP Status	FAMILY	4.3	131	5.4M	50,000+	Free	0	Everyone	Entertainment	November 29, 2017	1.2.1	4.1 and up
Best DP and Status - All Type DP & Status	FAMILY		1	5.7M	100+	Free	0	Everyone	Entertainment	May 30, 2018	1.0	4.0.3 and up
Dp for Facebook	SOCIAL	4.1	56	10M	5,000+	Free	0	Everyone	Social	May 16, 2017	1.0	4.0.3 and up
Fifa World Cup 2018: Photo Frame Editor & DP Maker	PHOTOGRAPHY	4.6	666	8.7M	100,000+	Free	0	Everyone	Photography	June 20, 2018	6.1	4.0.3 and up
DP and Status Images | All Latest Status 2018	LIFESTYLE	4.7	25	3.8M	10,000+	Free	0	Teen	Lifestyle	July 22, 2017	1.0	4.0 and up
Best DP and Status	SOCIAL	4.2	93	5.6M	10,000+	Free	0	Teen	Social	November 29, 2017	7.6.5	4.1 and up
100000+ Messages - DP, Status, Jokes & GIF 2018	LIFESTYLE	3.7	121	3.8M	10,000+	Free	0	Mature 17+	Lifestyle	December 29, 2017	DPSTATUS1.0.1	4.0.3 and up
Instant DP Downloader for Instagram	SOCIAL	4.7	38	4.1M	5,000+	Free	0	Everyone	Social	August 4, 2018	1.0.4	4.2 and up
DP Display Pictures Life Quotes Motivational GM	SOCIAL	4.4	39	11M	5,000+	Free	0	Everyone	Social	January 1, 2018	20	4.1 and up
Latest DP and Status Pro 2018	FAMILY	4.7	19	5.7M	1,000+	Free	0	Everyone	Entertainment	January 5, 2018	1.0.4	4.0.3 and up
Best DP And Video Status 2018 For Whatsapp	FAMILY	4.2	91	3.8M	10,000+	Free	0	Everyone	Entertainment	May 31, 2018	9.0	4.1 and up
Qeek for Instagram - Zoom profile insta DP	SOCIAL	4.6	12111	9.1M	500,000+	Free	0	Everyone	Social	May 3, 2018	1.47	4.3 and up
DP Battle	FAMILY	4.5	132	2.5M	5,000+	Free	0	Everyone	Entertainment	March 26, 2017	2.0.5	4.0.3 and up
Faceoff DP Battle App	FAMILY	4.8	38	6.7M	1,000+	Free	0	Everyone	Entertainment	June 15, 2018	5.2	4.4 and up
Insta Square Profile DP	PHOTOGRAPHY	3.7	42	11M	5,000+	Free	0	Everyone	Photography	September 1, 2015	1.0	4.0 and up
Name Art DP - Focus n Filter Text 2018	ART_AND_DESIGN	4.3	132	7.7M	10,000+	Free	0	Everyone	Art & Design	January 4, 2018	1	4.1 and up
DP Status 2017	PHOTOGRAPHY	4.2	302	7.0M	50,000+	Free	0	Everyone	Photography	June 15, 2017	15|06|17	4.1 and up
Dairy Queen	FOOD_AND_DRINK	3.6	742	43M	100,000+	Free	0	Everyone	Food & Drink	July 25, 2018	2.1.0	4.1 and up
DQ Texas	FOOD_AND_DRINK	4.1	336	13M	100,000+	Free	0	Everyone	Food & Drink	May 18, 2018	1.4.1	4.1 and up
DQ Events	BUSINESS	2.3	41	20M	10,000+	Free	0	Everyone	Business	December 20, 2017	1.1	4.0 and up
Dash Quest Heroes	GAME	4.3	8432	59M	500,000+	Free	0	Everyone 10+	Adventure	July 16, 2018	1.4.0	4.1 and up
Coupons for Dairy Queen	FOOD_AND_DRINK	4.6	42	3.9M	100+	Free	0	Teen	Food & Drink	July 18, 2018	1.0	5.0 and up
DRAGON QUEST VIII	FAMILY	4.5	7812	27M	50,000+	Paid	$19.99	Everyone 10+	Role Playing	April 4, 2017	1.1.4	4.0 and up
ODTMobile v4	BUSINESS	4.0	3	16M	1,000+	Free	0	Everyone	Business	April 17, 2018	1.10	4.1 and up
DRAGON QUEST III	FAMILY	4.2	1661	63M	10,000+	Paid	$9.99	Everyone	Role Playing	March 9, 2018	1.0.5	4.0 and up
LightMeter (noAds)	PHOTOGRAPHY	4.6	617	12M	10,000+	Paid	$1.99	Everyone	Photography	November 22, 2016	1.5.10.NA	3.2 and up
DRAGON QUEST	FAMILY	4.2	9659	30M	100,000+	Paid	$2.99	Everyone	Role Playing	March 10, 2017	1.0.7	2.3 and up
DRAGON QUEST II	FAMILY	4.5	2576	44M	10,000+	Paid	$4.99	Everyone	Role Playing	March 9, 2018	1.0.5	4.0 and up
SONIC Drive-In	FOOD_AND_DRINK	4.3	19373	43M	1,000,000+	Free	0	Everyone	Food & Drink	July 31, 2018	3.3.6	4.4 and up
DRAGON QUEST VI	FAMILY	4.4	3358	17M	100,000+	Paid	$14.99	Everyone	Role Playing	August 1, 2018	1.0.4	2.3 and up
McDonald's	FOOD_AND_DRINK	3.6	145646	42M	10,000,000+	Free	0	Everyone	Food & Drink	July 31, 2018	5.15.0	4.4 and up
DQT GPS	BUSINESS	4.0	3	6.3M	500+	Free	0	Everyone	Business	October 5, 2015	1.2	4.2 and up
DQ Akses	TOOLS		0	2.6M	1+	Free	0	Everyone	Tools	July 6, 2018	1.1	2.1 and up
Discovery Insure	MAPS_AND_NAVIGATION	2.8	1911	20M	100,000+	Free	0	Everyone	Maps & Navigation	March 17, 2018	di-v3.4.0.4	4.3 and up
Taco Bell	LIFESTYLE	3.8	28140	16M	1,000,000+	Free	0	Everyone	Lifestyle	July 30, 2018	5.0.4	4.2 and up
LightMeter Free	PHOTOGRAPHY	4.1	5485	13M	1,000,000+	Free	0	Everyone	Photography	April 28, 2016	1.2.3	3.2 and up
CHRONO TRIGGER (Upgrade Ver.)	FAMILY	3.8	11250	6.3M	100,000+	Paid	$9.99	Everyone 10+	Role Playing	June 12, 2018	2.0.4	4.2 and up
ODTMobile	BUSINESS	3.4	15	2.7M	10,000+	Free	0	Everyone	Business	March 10, 2016	3.2	2.2 and up
Whataburger	FOOD_AND_DRINK	4.5	5093	56M	500,000+	Free	0	Everyone	Food & Drink	April 10, 2018	1.9.0	4.2 and up
FINAL FANTASY DIMENSIONS	FAMILY	4.3	8450	1.1M	100,000+	Paid	$13.99	Everyone	Role Playing	March 15, 2017	1.1.3	2.3.3 and up
Arby's	FOOD_AND_DRINK	3.1	194	26M	100,000+	Free	0	Everyone	Food & Drink	July 12, 2018	1.3.1	4.4 and up
RPG Dragon Lapis	FAMILY	4.6	13492	56M	100,000+	Free	0	Teen	Role Playing	July 9, 2018	1.1.4g	4.1 and up
Find Fast Food	SHOPPING	3.3	272	785k	100,000+	Free	0	Everyone	Shopping	November 11, 2012	1.1.6	2.2 and up
Jungle book-The Great Escape	GAME	3.9	2362	25M	100,000+	Free	0	Everyone	Action	July 17, 2013	1.3	2.3 and up
Bunny Skater	GAME	4.2	139432	4.7M	10,000,000+	Free	0	Everyone	Adventure	November 20, 2013	1.5	2.1 and up
DQSalmaan - A fan made App	FAMILY	4.9	707	6.0M	10,000+	Free	0	Everyone	Entertainment	February 4, 2018	1.5	4.1 and up
Culver's	LIFESTYLE	3.9	1638	4.9M	100,000+	Free	0	Everyone	Lifestyle	April 11, 2018	1.20	4.3 and up
Wendy s   Food and Offers	FOOD_AND_DRINK	3.4	6512	18M	1,000,000+	Free	0	Everyone	Food & Drink	April 12, 2018	5.7.0	4.4 and up
World Webcams	WEATHER	3.7	7896	Varies with device	1,000,000+	Free	0	Everyone	Weather	November 25, 2013	1.6	Varies with device
Dunkin' Donuts	FOOD_AND_DRINK	4.2	68270	66M	1,000,000+	Free	0	Everyone	Food & Drink	June 20, 2018	5.0.0	4.4 and up
SUBWAY 	FOOD_AND_DRINK	3.8	21381	41M	1,000,000+	Free	0	Everyone	Food & Drink	July 24, 2018	7.9.0.0	4.4 and up
The Walking Zombie: Dead City	GAME	4.6	58575	96M	1,000,000+	Free	0	Teen	Action	February 21, 2018	2.55	4.1 and up
Monster Fishing 2018	SPORTS	4.4	32881	76M	1,000,000+	Free	0	Everyone	Sports	August 7, 2018	0.0.80	4.1 and up
Call Blocker & Blacklist	COMMUNICATION	4.0	6	4.2M	1,000+	Free	0	Everyone	Communication	July 13, 2018	3.1.0	4.0 and up
Panera Bread	FOOD_AND_DRINK	4.2	10225	36M	1,000,000+	Free	0	Everyone	Food & Drink	August 6, 2018	4.4.2	5.0 and up
Dulquer Salmaan HD Wallpapers	PERSONALIZATION		1	3.9M	100+	Free	0	Everyone	Personalization	May 22, 2018	1.1.0	4.0 and up
IHOP 	FOOD_AND_DRINK	4.2	441	24M	100,000+	Free	0	Everyone	Food & Drink	April 3, 2018	2.2.0	4.1 and up
Starbucks	FOOD_AND_DRINK	4.5	455496	35M	10,000,000+	Free	0	Everyone	Food & Drink	August 1, 2018	4.11.1	4.4 and up
myGrow	PRODUCTIVITY	4.6	84	23M	1,000+	Paid	$4.29	Mature 17+	Productivity	April 29, 2016	2.3.9	3.2 and up
Dr. Parking 4	GAME	4.4	475369	13M	50,000,000+	Free	0	Everyone	Racing	March 6, 2018	1.14	4.0.3 and up
Dr. Driving 2	GAME	4.6	358633	19M	10,000,000+	Free	0	Everyone	Racing	May 3, 2018	1.32	4.0.3 and up
Anti-virus Dr.Web Light	TOOLS	4.5	1094094	Varies with device	100,000,000+	Free	0	Everyone	Tools	July 10, 2018	Varies with device	Varies with device
dr.fone - Recovery & Transfer wirelessly & Backup	TOOLS	3.7	23347	7.6M	5,000,000+	Free	0	Everyone	Tools	May 28, 2018	3.2.0.169	2.3 and up
Dr. Truck Driver : Real Truck Simulator 3D	FAMILY	4.1	1626	96M	100,000+	Free	0	Everyone 10+	Simulation	July 5, 2018	1.8	4.1 and up
Dr. Cares - Pet Rescue 911  	FAMILY	4.2	14432	35M	500,000+	Free	0	Everyone	Casual	September 21, 2017	1.5	4.0.3 and up
Dr. Panda Town	FAMILY	4.0	36578	Varies with device	1,000,000+	Free	0	Everyone	Education;Pretend Play	August 3, 2018	Varies with device	Varies with device
Dr. Parker : Parking Simulator	GAME	4.5	14253	81M	1,000,000+	Free	0	Everyone	Racing	January 18, 2018	3.1	4.0 and up
Dr. Parker : Real car parking simulation	GAME	4.6	15829	95M	1,000,000+	Free	0	Everyone	Racing	July 24, 2018	1.29	4.0 and up
Dr. Battery - Fast Charger - Super Cleaner 2018	TOOLS	4.5	101738	10M	1,000,000+	Free	0	Everyone	Tools	July 26, 2018	2.2.82	4.0 and up
Dr. Safety - Antivirus, Booster, Cleaner, AppLock	TOOLS	4.4	372553	21M	10,000,000+	Free	0	Everyone	Tools	August 6, 2018	3.0.1114	4.1 and up
DR TV	VIDEO_PLAYERS	3.3	6716	4.7M	500,000+	Free	0	Mature 17+	Video Players & Editors	June 25, 2018	3.0.6	4.4 and up
Real Car Dr Parking Master: Parking Games 2018	FAMILY	4.2	3345	27M	1,000,000+	Free	0	Everyone	Simulation	May 12, 2018	1.0	4.1 and up
Doctor Kids	FAMILY	4.2	200450	25M	10,000,000+	Free	0	Everyone	Casual;Pretend Play	July 26, 2018	1.39	4.1 and up
Dr. Rocket	GAME	4.0	42182	3.4M	1,000,000+	Free	0	Everyone	Arcade	January 6, 2018	1.11	4.1 and up
Dr. Muscle	HEALTH_AND_FITNESS	4.0	87	33M	10,000+	Free	0	Everyone	Health & Fitness	July 28, 2018	2.5	4.0.3 and up
Dr. Dominoes	GAME	4.0	2700	5.7M	500,000+	Free	0	Everyone	Board	January 3, 2018	1.06	4.1 and up
Dr. Sudoku	FAMILY	3.5	2310	3.1M	500,000+	Free	0	Everyone	Puzzle	January 4, 2018	1.06	4.1 and up
Dr.Web Security Space	TOOLS	4.5	594406	Varies with device	10,000,000+	Free	0	Everyone	Tools	July 20, 2018	Varies with device	Varies with device
Dr. Unblock	FAMILY	3.9	3847	4.3M	1,000,000+	Free	0	Everyone	Puzzle	January 3, 2018	1.05	4.1 and up
Dr. Gomoku	GAME	3.9	85317	4.5M	5,000,000+	Free	0	Everyone	Board	January 15, 2018	1.54	4.0.3 and up
Dr. Panda Farm	FAMILY	4.1	265	46M	10,000+	Paid	$2.99	Everyone	Education;Pretend Play	July 21, 2016	1.0	4.0 and up
DR.MEEP	FAMILY	4.4	54	33M	500+	Paid	$2.99	Everyone	Puzzle	June 29, 2018	1.2	4.1 and up
Dr. Panda Art Class	FAMILY	4.2	1013	58M	50,000+	Paid	$2.99	Everyone	Education;Creativity	April 26, 2017	1.7	4.0 and up
Dr. Panda's Swimming Pool	FAMILY	4.4	2311	9.3M	100,000+	Paid	$1.99	Everyone	Casual;Pretend Play	January 15, 2015	1.01	4.0 and up
Dr. Pixel: Pill mania Classic	FAMILY	4.3	2419	6.2M	100,000+	Free	0	Everyone	Puzzle	March 31, 2018	1.2.7	4.0 and up
Dr. Chess	GAME	4.1	97209	6.7M	1,000,000+	Free	0	Everyone	Board	January 14, 2018	1.41	4.0.3 and up
Super Dr. Parking 3D	FAMILY	4.0	4518	41M	1,000,000+	Free	0	Everyone	Simulation	December 17, 2017	3.3	4.1 and up
